año,escuela,estado,municipio,comunidad,riesgo,longitud,latitud
2014.0,,Chiapas,Oxchuc,Piedra Escrita,bajo,-92.33,16.77
2014.0,,Chiapas,Oxchuc,Barrio Muk'Jok,alto,-92.34,16.82
2014.0,,Chiapas,Palenque,Ach' Lum Maya,alto,-91.9,17.47
2014.0,,Campeche,Palizada,Ribera Alamilla,bajo,-92.09,18.27
2014.0,,Chiapas,Pantelho,Las Limas Chitamucum,alto,-92.52,17.11
2014.0,,Chiapas,Pantelho,Guadalupe La Lamina,alto,-92.49,17.04
2014.0,,Chiapas,Pantelho,San Fernando,alto,-92.44,17.01
2014.0,,Chiapas,Pantelho,San Francisco de Asis,alto,-92.5,17.06
2014.0,Otras,Chiapas,Pantelho,Nueva Jerusalen,alto,-92.49,17.03
2014.0,,Veracruz,Papantla,El Palmito Km. 44,bajo,-97.4,20.61
2014.0,Otras,Tabasco,Paraiso,Union 1a. Seccion (Amatillo),bajo,-93.31,18.43
2014.0,,Coahuila,Parras,El Mesteno,bajo,-101.87,25.54
2014.0,,Coahuila,Parras,La Candelaria,medio,-102.26,25.77
2014.0,,Coahuila,Parras,La Vega,medio,-101.95,25.65
2014.0,,Coahuila,Parras,Loma Bonita (La Vega),medio,-101.97,25.65
2014.0,,Durango,Penon Blanco,Yerbanis,alto,-103.84,24.74
2014.0,,Yucatan,Peto,Papacal,medio,-88.82,20.15
2014.0,,Chiapas,Pichucalco,Camoapa 1a. Seccion,alto,-93.2,17.52
2014.0,,Coahuila,Piedras Negras,El Moral,medio,-100.63,28.89
2014.0,,Chiapas,Pijijiapan,Tutuan,alto,-93.09,15.44
2014.0,,Zacatecas,Pinos,Las Cabras,bajo,-93.09,15.44
2014.0,,Hidalgo,Pisaflores,Las Moras,alto,-98.95,21.29
2014.0,Otras,Oaxaca,Pluma Hidalgo,La Pasionaria,bajo,-96.42,15.93
2014.0,,Coahuila,Progreso,Progreso,bajo,-100.99,27.43
2014.0,,Guanajuato,Pueblo Nuevo,Guadalupe del Monte (La Lupita),bajo,-101.39,20.5
2014.0,,Chiapas,Pueblo Nuevo Solistahuacan,Tierra Nacional,medio,-92.895223478982,17.1629464519356
2014.0,,Queretaro,Queretaro,Ejido Bolanos,bajo,-100.36,20.63
2014.0,,Zacatecas,Rio Grande,Los Marquez,alto,-103.045913689794,23.832776462261
2014.0,,San Luis Potosi,Rioverde,Progreso,bajo,-100.13,22.23
2014.0,,Nayarit,Rosamorada,San Juan Corapan,alto,-104.94,22.04
2014.0,,Nayarit,Rosamorada,Pescadero,alto,-105.33,22.19
2014.0,Otras,Nayarit,Rosamorada,Chilapa,medio,-105.23,22.03
2014.0,,Sinaloa,Rosario,Palmarito,alto,-105.65,23.04
2014.0,,Chiapas,Sabanilla,El Mirador,alto,-92.68,17.35
2014.0,,Coahuila,Saltillo,Jazminal,bajo,-101.42,24.91
2014.0,,Coahuila,Saltillo,Tanque Escondido,bajo,-101.11,24.75
2014.0,Otras,Oaxaca,San Antonino Monte Verde,San Antonino Monte Verde,alto,-97.72,17.53
