state,variable,value
Coahuila ,¿Hay bebederos o dispensadores de agua funcionando?,0.3995067817509248
Colima,¿Hay bebederos o dispensadores de agua funcionando?,0.3184713375796178
Durango,¿Hay bebederos o dispensadores de agua funcionando?,0.37149532710280375
Estado de Mexico,¿Hay bebederos o dispensadores de agua funcionando?,0.09139360442163443
Guanajuato,¿Hay bebederos o dispensadores de agua funcionando?,0.31043710972346117
Guerrero,¿Hay bebederos o dispensadores de agua funcionando?,0.09861325115562404
Hidalgo,¿Hay bebederos o dispensadores de agua funcionando?,0.14285714285714285
Jalisco,¿Hay bebederos o dispensadores de agua funcionando?,0.221796509152831
Michoacan,¿Hay bebederos o dispensadores de agua funcionando?,0.20434782608695654
Morelos,¿Hay bebederos o dispensadores de agua funcionando?,0.3181818181818182
Nayarit,¿Hay bebederos o dispensadores de agua funcionando?,0.3106796116504854
Nuevo Leon,¿Hay bebederos o dispensadores de agua funcionando?,0.4376672017121455
Oaxaca,¿Hay bebederos o dispensadores de agua funcionando?,0.16776750330250992
Puebla,¿Hay bebederos o dispensadores de agua funcionando?,0.15577342047930284
Queretaro ,¿Hay bebederos o dispensadores de agua funcionando?,0.34190782422293675
Quintana Roo,¿Hay bebederos o dispensadores de agua funcionando?,0.16944024205748864
San Luis Potosi,¿Hay bebederos o dispensadores de agua funcionando?,0.27721088435374147
Sinaloa,¿Hay bebederos o dispensadores de agua funcionando?,0.42727272727272725
Sonora,¿Hay bebederos o dispensadores de agua funcionando?,0.5497685185185185
Tabasco,¿Hay bebederos o dispensadores de agua funcionando?,0.20333333333333334
Tamaulipas,¿Hay bebederos o dispensadores de agua funcionando?,0.2698268003646308
Tlaxcala,¿Hay bebederos o dispensadores de agua funcionando?,0.17578125
Veracruz,¿Hay bebederos o dispensadores de agua funcionando?,0.21792717086834734
Yucatan,¿Hay bebederos o dispensadores de agua funcionando?,0.37109375
Zacatecas,¿Hay bebederos o dispensadores de agua funcionando?,0.2603550295857988
Aguascalientes,"¿Hay logos o nombres de marcas de comida chatarra y/o bebidas azucaradas dentro de la escuela (por ejemplo, en la tienda escolar, canchas, patios, eventos y/o torneos)?",0.3128205128205128
